family,bits,level1_baseline,level1_variant,level2_variant,level1_prompts,level2_prompts,level1_judged_prompts,level2_judged_prompts,level1_mean_cosine,level2_mean_cosine,delta_mean_cosine_l2_minus_l1,level1_judge_equivalent_rate,level2_judge_equivalent_rate,delta_judge_rate_l2_minus_l1
arc,4,per_channel,dyadic_4,dyop_native_4,20,20,20,20,0.6775894462210366,0.6638146078613155,-0.013774838359721042,0.05,0.2,0.15000000000000002
arc,4,group32,dyadic_g32_4,dyop_native_4,20,20,20,20,0.8751407095524406,0.6638146078613155,-0.2113261016911251,0.2,0.2,0.0
arc,5,per_channel,dyadic_5,dyop_native_5,20,20,20,20,0.9144331261088506,0.9114821880179076,-0.002950938090943045,0.55,0.45,-0.10000000000000003
arc,5,group32,dyadic_g32_5,dyop_native_5,20,20,20,20,0.920618429955554,0.9114821880179076,-0.009136241937646394,0.6,0.45,-0.14999999999999997
arc,6,per_channel,dyadic_6,dyop_native_6,20,20,20,20,0.9359375420303016,0.9310173834595916,-0.004920158570709932,0.7,0.75,0.050000000000000044
arc,6,group32,dyadic_g32_6,dyop_native_6,20,20,20,20,0.9588734678905096,0.9310173834595916,-0.027856084430918027,0.75,0.75,0.0
arc,8,per_channel,dyadic_8,dyop_native_8,20,20,20,20,0.9433014570242656,0.945850412705918,0.002548955681652365,0.75,0.65,-0.09999999999999998
arc,8,group32,dyadic_g32_8,dyop_native_8,20,20,20,20,0.9740654848265712,0.945850412705918,-0.028215072120653217,0.7,0.65,-0.04999999999999993
wikitext,4,per_channel,dyadic_4,dyop_native_4,10,10,10,10,0.6618080090952302,0.6687156281944063,0.006907619099176143,0.1,0.1,0.0
wikitext,4,group32,dyadic_g32_4,dyop_native_4,10,10,10,10,0.6584866447035814,0.6687156281944063,0.010228983490824906,0.0,0.1,0.1
wikitext,5,per_channel,dyadic_5,dyop_native_5,10,10,10,10,0.7255754280032671,0.6948260539126491,-0.030749374090618065,0.1,0.2,0.1
wikitext,5,group32,dyadic_g32_5,dyop_native_5,10,10,10,10,0.7507842598563694,0.6948260539126491,-0.05595820594372036,0.1,0.2,0.1
wikitext,6,per_channel,dyadic_6,dyop_native_6,10,10,10,10,0.7285910494428898,0.7619294303685404,0.03333838092565067,0.2,0.1,-0.1
wikitext,6,group32,dyadic_g32_6,dyop_native_6,10,10,10,10,0.7656652416038577,0.7619294303685404,-0.003735811235317299,0.2,0.1,-0.1
wikitext,8,per_channel,dyadic_8,dyop_native_8,10,10,10,10,0.8047753877568441,0.7944764539595133,-0.010298933797330823,0.1,0.2,0.1
wikitext,8,group32,dyadic_g32_8,dyop_native_8,10,10,10,10,0.8677894966296525,0.7944764539595133,-0.07331304267013927,0.1,0.2,0.1
