family,variant,prompts,exact_match_rate,mean_edit_ratio,mean_token_jaccard,mean_cosine,judge_equivalent_rate,judged_prompts
arc,dyadic_4,20,0.0,0.24441044915138396,0.10599845115758974,0.6775894462210366,0.05,20
arc,dyadic_5,20,0.0,0.3713397705717259,0.2904140710272827,0.9144331261088506,0.55,20
arc,dyadic_6,20,0.0,0.4177962023405287,0.33029402015179776,0.9359375420303016,0.7,20
arc,dyadic_8,20,0.0,0.4372943573900258,0.3615043779884603,0.9433014570242657,0.75,20
arc,dyadic_g32_4,20,0.0,0.2813267191351632,0.1944960104417825,0.8751407095524406,0.2,20
arc,dyadic_g32_5,20,0.0,0.3817401972795015,0.29627184825714464,0.920618429955554,0.6,20
arc,dyadic_g32_6,20,0.0,0.5149648451789094,0.431066128086427,0.9588734678905096,0.75,20
arc,dyadic_g32_8,20,0.05,0.6145685806548679,0.5252439718176485,0.9740654848265713,0.7,20
arc,q4_k_m,20,0.0,0.3381769898385626,0.24658710720521415,0.8995245467316112,0.4,20
arc,q6_k,20,0.0,0.41210888584211663,0.3308887665553068,0.9463435233629198,0.65,20
arc,q8_0,20,0.0,0.40647690767933414,0.3136600714875837,0.941980152757881,0.75,20
wikitext,dyadic_4,10,0.0,0.24570402479336267,0.10475884165311673,0.6618080090952302,0.1,10
wikitext,dyadic_5,10,0.0,0.2780222143826039,0.1520024300737026,0.7255754280032671,0.1,10
wikitext,dyadic_6,10,0.0,0.31307929857458594,0.1919170175600253,0.7285910494428898,0.2,10
wikitext,dyadic_8,10,0.0,0.3162572012100001,0.20459567347832794,0.8047753877568441,0.1,10
wikitext,dyadic_g32_4,10,0.0,0.26419682326275074,0.12548940768310693,0.6584866447035814,0.0,10
wikitext,dyadic_g32_5,10,0.0,0.28332897434024695,0.1673592427854428,0.7507842598563694,0.1,10
wikitext,dyadic_g32_6,10,0.0,0.3341603514834359,0.21469670472750826,0.7656652416038577,0.2,10
wikitext,dyadic_g32_8,10,0.0,0.42669598056572455,0.32427534791331925,0.8677894966296525,0.1,10
wikitext,q4_k_m,10,0.0,0.2560544695003466,0.11421120527441511,0.6377800336068595,0.2,10
wikitext,q6_k,10,0.0,0.28485143425369314,0.13005650297452437,0.7027487422886718,0.3,10
wikitext,q8_0,10,0.0,0.2919918045866658,0.1247431827056487,0.7017543539507185,0.1,10
