subkernel,shape,source,materialized_ms,dyop_native_ms,speedup_vs_materialized,passes_speed_gate,max_abs_error
linear,gemv_qwen_mlp,results/level2/native_kernels_after_neon_dot_bits6_r50.csv,0.19574500154703856,0.10592167731374502,1.8480164448985508,True,2.6702880859375e-05
linear,gemm_qwen_seq,results/level2/native_kernels_after_neon_dot_bits6_r50.csv,0.0912724994122982,0.8744816621765494,0.10437325716484969,False,0.00014495849609375
linear,output_projection_gemv,results/level2/native_kernels_after_neon_dot_bits6_r50.csv,6.77130832336843,2.3976191598922014,2.824180101927811,True,3.814697265625e-05
linear,output_projection,results/level2/native_kernels_after_neon_dot_bits6_r50.csv,11.050008339807391,21.69192083645612,0.5094066322257825,False,0.00018310546875
embedding,qwen_vocab_width,results/level2/native_kernels_after_neon_dot_bits6_r50.csv,0.01629249658435583,0.019526677206158638,0.8343711739761459,False,0.0
resnet_conv3x3,resnet_conv3x3,results/level2/native_conv2d_stride2_oc8_dispatch_threads12_bits6_r40.csv,2.900493750348687,5.545705201802775,0.5230162161172589,False,0.000148773193359375
resnet_layer2_stride2_3x3,resnet_layer2_stride2_3x3,results/level2/native_conv2d_stride2_oc8_dispatch_threads12_bits6_r40.csv,0.2710333501454443,0.6041750020813197,0.44860073523691435,False,9.918212890625e-05
resnet_layer3_stride2_3x3,resnet_layer3_stride2_3x3,results/level2/native_conv2d_stride2_oc8_dispatch_threads12_bits6_r40.csv,0.20655417465604842,0.6929146009497344,0.2980947065813559,False,0.0002288818359375
resnet_layer4_stride2_3x3,resnet_layer4_stride2_3x3,results/level2/native_conv2d_stride2_oc8_dispatch_threads12_bits6_r40.csv,0.1948989520315081,0.7262052036821842,0.268379999266438,False,0.00042724609375
resnet_downsample,resnet_downsample,results/level2/native_conv2d_stride2_oc8_dispatch_threads12_bits6_r40.csv,0.18746147397905588,0.5886572762392461,0.31845605506941277,False,2.6702880859375e-05
relu,resnet_relu,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.10501000098884106,0.08864833973348141,1.184568163425852,True,0.0
add,resnet_add,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.15762418042868376,0.10275666136294603,1.5339558364196026,True,0.0
add_relu,resnet_add_relu,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.28379665687680244,0.09991668164730072,2.8403330875077084,True,0.0
maxpool2d,resnet_maxpool,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,14.616285837255418,8.79926084075123,1.661081095535243,True,0.0
adaptive_avgpool2d,resnet_global_avgpool,results/level2/native_spatial_addrelu_hotworkers_threads16.csv,0.01333167776465416,0.0620125001296401,0.21498371677941783,False,1.1920928955078125e-07
