id,expected,predicted,correct,response,prompt_tokens,generated_tokens,prompt_duration_ns,generation_duration_ns
Mercury_417466,A,D,False,D,111,2,27222750,4647375
Mercury_7081673,B,B,True,B,87,2,19073125,4679625
Mercury_7239733,D,D,True,D,94,2,19296334,4600583
NYSEDREGENTS_2015_4_8,D,D,True,D,75,2,19017834,4644625
Mercury_7037258,B,C,False,C,103,2,19377916,4619625
CSZ20679,C,C,True,C,89,2,28641542,4596708
Mercury_182158,A,D,False,D. wash instruments,101,4,19514750,13639667
Mercury_7216668,C,,False,grams,93,2,19325500,4854583
MCAS_2001_5_19,C,C,True,C,70,2,13154458,4489750
Mercury_SC_413631,A,D,False,D,118,2,26901542,4834916
MCAS_2005_5_10,B,D,False,D,105,2,23421208,4635334
Mercury_7166145,B,B,True,B,132,2,27468375,4746500
MSA_2013_5_6,B,B,True,B,98,2,19402625,4952000
Mercury_SC_405199,B,A,False,A,76,2,18974584,4587625
NYSEDREGENTS_2015_8_28,B,B,True,B,74,2,19157917,4593500
Mercury_SC_401777,B,,False,E. deposition,77,4,19054041,13473083
Mercury_7198188,B,B,True,B,141,2,33387292,4968250
MCAS_1998_4_11,D,D,True,D,128,2,27218084,4776000
Mercury_SC_LBS10784,B,B,True,B,85,2,19148125,4546625
Mercury_7033548,D,D,True,D,88,2,19190125,4656917
Mercury_7146195,D,D,True,D,103,2,19684083,4598708
NCEOGA_2013_8_36,D,D,True,D,79,2,19648625,4694625
Mercury_SC_415412,D,C,False,C,111,2,26956250,4691750
Mercury_7126840,C,D,False,D,96,2,19308750,4487958
Mercury_SC_408362,B,B,True,B,93,2,19342125,4663667
MDSA_2008_8_35,C,B,False,B,116,2,26934917,4693458
NYSEDREGENTS_2015_8_21,B,D,False,D,87,2,19172791,4593916
VASoL_2008_5_12,B,B,True,B,85,2,24056333,5516000
Mercury_SC_LBS10680,A,A,True,A,102,2,19570917,4877375
MCAS_2003_5_3,B,B,True,B,69,2,14073792,4763917
VASoL_2010_5_18,A,A,True,A,77,2,19276083,4946334
