group_size,bits_per_weight,effective_bits_per_weight,perplexity,next_token_agreement,arc_easy_likelihood
16,4,4.501667646466722,39.80702731216139,0.649859607219696,0.39
32,4,4.251703854591281,46.403852925861344,0.599926769733429,0.33
64,4,4.126721958653561,53.125280739156594,0.5625686645507812,0.38
per_channel,4,4.00912522466526,102.76053886938776,0.4440239369869232,0.3
16,5,5.501522813968486,32.61591601898765,0.7712122797966003,0.46
32,5,5.251559022093045,31.844723096674972,0.7609571218490601,0.47
64,5,5.126577126155325,32.000614222151384,0.7532657980918884,0.43
per_channel,5,5.0089803921670235,34.87265817405728,0.7127335071563721,0.36
16,6,6.50137798147025,28.74086873090475,0.8814552426338196,0.45
32,6,6.251414189594809,28.88156539703775,0.8699792623519897,0.47
64,6,6.126432293657088,28.614827847430707,0.8744964003562927,0.46
per_channel,6,6.008835559668787,29.653314970921897,0.8373824954032898,0.43
16,8,8.501088316473776,27.91096593077995,0.9444512128829956,0.42
32,8,8.251124524598335,27.761437189056387,0.9453058242797852,0.43
64,8,8.126142628660615,28.03390648535139,0.9437187314033508,0.42
per_channel,8,8.008545894672315,28.157388561129796,0.915394961833954,0.43
